Pneu Scooter Data Log: 8/25/2012 6:39:03 PM
Time [s], DC Voltage [V], DC Current [A], Phase A Current [A], Phase B Current [A], Phase C Current [A], Sensor State [ABC], Flux State [ABC], Sensor Speed [rpm], Flux Speed [rpm], Accel Command [%], Brake Command [%], PWM Magnitude [%], PWM Phase [deg], Q-Axis Current [A], D-Axis Current [A], Sensor V-Index [16-bit], Flux V-Index [16-bit], Fault State, Debug Integer
15.32, 16.22, 0.00, -15.32, 8.14, 7.18, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.60, 15.50, 0, 0, 1, 1500
15.52, 16.33, 0.00, -15.44, 8.18, 7.26, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.57, 15.57, 0, 0, 1, 1500
15.62, 16.32, 0.00, -15.52, 8.20, 7.32, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.57, 15.57, 0, 0, 1, 1500
15.65, 16.27, 0.00, -15.68, 8.28, 7.40, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.57, 15.58, 0, 0, 1, 1500
15.80, 16.33, 0.00, -15.42, 8.16, 7.26, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.58, 0, 0, 1, 1500
15.80, 16.32, 0.00, -15.56, 8.22, 7.34, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.57, 15.57, 0, 0, 1, 1500
15.82, 16.25, 0.00, -15.36, 8.14, 7.22, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.59, 0, 0, 1, 1500
15.83, 16.32, 0.00, -15.56, 8.22, 7.34, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.58, 0, 0, 1, 1500
15.87, 16.33, 0.00, -15.56, 8.22, 7.34, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.57, 0, 0, 1, 1500
15.88, 16.32, 0.00, -15.64, 8.24, 7.40, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.57, 0, 0, 1, 1500
15.96, 16.22, 0.00, -15.54, 8.22, 7.32, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.57, 0, 0, 1, 1500
15.99, 16.32, 0.00, -15.52, 8.20, 7.32, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.57, 0, 0, 1, 1500
16.01, 16.33, 0.00, -15.54, 8.22, 7.32, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.56, 0, 0, 1, 1500
16.04, 16.26, 0.00, -15.42, 8.16, 7.26, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.59, 0, 0, 1, 1500
16.04, 16.32, 0.00, -15.52, 8.20, 7.32, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.57, 15.58, 0, 0, 1, 1500
16.05, 16.27, 0.00, -15.48, 8.18, 7.30, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.58, 0, 0, 1, 1500
16.08, 16.33, 0.00, -15.58, 8.24, 7.34, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.59, 0, 0, 1, 1500
16.10, 16.32, 0.00, -15.60, 8.24, 7.36, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.58, 0, 0, 1, 1500
16.11, 16.33, 0.00, -15.48, 8.18, 7.30, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.59, 0, 0, 1, 1500
16.15, 16.25, 0.00, -15.36, 8.14, 7.22, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.59, 0, 0, 1, 1500
16.16, 16.33, 0.00, -15.56, 8.22, 7.34, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.58, 0, 0, 1, 1500
16.19, 16.32, 0.00, -15.52, 8.20, 7.32, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.57, 0, 0, 1, 1500
16.22, 16.27, 0.00, -15.68, 8.28, 7.40, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.58, 0, 0, 1, 1500
16.22, 16.33, 0.00, -15.58, 8.24, 7.34, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.56, 0, 0, 1, 1500
16.24, 16.25, 0.00, -15.40, 8.14, 7.26, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.60, 0, 0, 1, 1500
16.27, 16.33, 0.00, -15.56, 8.22, 7.34, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.56, 0, 0, 1, 1500
16.36, 16.33, 0.00, -15.56, 8.22, 7.34, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.58, 0, 0, 1, 1500
16.38, 16.32, 0.00, -15.64, 8.24, 7.40, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.57, 15.59, 0, 0, 1, 1500
16.47, 16.27, 0.00, -15.46, 8.18, 7.28, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.59, 0, 0, 1, 1500
16.63, 16.33, 0.00, -15.56, 8.22, 7.34, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.57, 0, 0, 1, 1500
16.66, 16.32, 0.00, -15.52, 8.20, 7.32, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.55, 0, 0, 1, 1500
16.68, 16.27, 0.00, -15.68, 8.28, 7.40, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.57, 0, 0, 1, 1500
16.71, 16.32, 0.00, -15.54, 8.20, 7.34, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.58, 0, 0, 1, 1500
16.74, 16.27, 0.00, -15.42, 8.16, 7.26, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.60, 0, 0, 1, 1500
16.75, 16.33, 0.00, -15.54, 8.22, 7.32, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.56, 0, 0, 1, 1500
16.79, 16.27, 0.00, -15.68, 8.28, 7.40, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.57, 0, 0, 1, 1500
16.80, 16.32, 0.00, -15.68, 8.28, 7.40, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.58, 0, 0, 1, 1500
16.82, 16.27, 0.00, -15.68, 8.28, 7.40, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.57, 0, 0, 1, 1500
16.85, 16.27, 0.00, -15.68, 8.28, 7.40, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.58, 0, 0, 1, 1500
16.88, 16.32, 0.00, -15.52, 8.20, 7.32, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.56, 0, 0, 1, 1500
16.89, 16.32, 0.00, -15.68, 8.28, 7.40, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.58, 0, 0, 1, 1500
16.91, 16.32, 0.00, -15.52, 8.20, 7.32, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.57, 0, 0, 1, 1500
16.94, 16.32, 0.00, -15.56, 8.22, 7.34, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.56, 0, 0, 1, 1500
16.99, 16.32, 0.00, -15.52, 8.20, 7.32, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.57, 0, 0, 1, 1500
16.99, 16.22, 0.00, -15.68, 8.28, 7.40, 0, 1, 0, 0, 0, 0.0, 0.0, 0.0, -0.56, 15.56, 0, 0, 1, 1500
